2017-10-11 15:37:53,171 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @23282833ms
2017-10-12 10:57:16,198 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@6a6dd92f{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-10-12 10:57:16,199 [Stop Help Server] INFO  org.eclipse.jetty.server.session - Stopped scavenging
2017-10-12 10:57:16,203 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@2ee007bc{/help,null,UNAVAILABLE}
2017-10-12 10:57:27,613 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-10-12 11:11:39,223 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @861097ms to org.eclipse.jetty.util.log.Slf4jLog
2017-10-12 11:11:39,278 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.4.5.v20170502
2017-10-12 11:11:39,289 [Start Help Server] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2017-10-12 11:11:39,289 [Start Help Server] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2017-10-12 11:11:39,290 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 660000ms
2017-10-12 11:11:39,303 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@3435fc8a{/help,null,AVAILABLE}
2017-10-12 11:11:39,308 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@82e252d4{HTTP/1.1,[http/1.1]}{127.0.0.1:36318}
2017-10-12 11:11:39,309 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @861182ms
2017-10-12 13:42:07,277 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@82e252d4{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-10-12 13:42:07,278 [Stop Help Server] INFO  org.eclipse.jetty.server.session - Stopped scavenging
2017-10-12 13:42:07,289 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@3435fc8a{/help,null,UNAVAILABLE}
2017-10-12 13:42:22,886 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-10-12 15:26:09,063 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @6239656ms to org.eclipse.jetty.util.log.Slf4jLog
2017-10-12 15:26:09,115 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.4.5.v20170502
2017-10-12 15:26:09,125 [Start Help Server] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
